cpf_mutuario;numero_contrato;data_assinatura;valor_financiamento;taxa_juros;prazo_carencia
10379597313;141894;08/03/2020;44000.00;45.000;46
11651986688;186321;29/02/2024;33343.00;45.000;1
10606946049;154290;30/09/2020;57443.65;45.000;35
11410467485;170816;07/05/2024;76785.80;45.000;23
11071714378;194961;05/02/2020;99335.90;66.600;48
10802566646;181116;06/12/2023;72000.00;60.000;47
10601657249;172228;05/05/2024;76500.00;55.000;34
10012204173;123124;08/06/2023;53400.00;50.000;19
10350085359;181816;15/01/2022;71883.00;45.000;9
11604355785;147326;17/06/2022;42845.94;50.000;43
11868980931;111126;04/02/2022;47477.00;45.000;4
10147540659;187463;10/05/2023;109306.61;55.000;17
10604170601;137036;30/07/2020;125720.00;66.600;16
10407701792;185443;29/11/2022;15000.00;50.000;43
12045145044;121338;21/03/2020;101923.97;60.000;40
10845908165;190868;06/07/2021;49885.10;60.000;34
10692241267;169946;25/01/2021;76376.17;66.600;17
10375968670;198208;03/10/2023;39265.00;45.000;43
11833200382;141216;16/07/2020;90196.08;50.000;1
10867952088;112908;01/06/2020;48116.00;45.000;14
12090325514;171406;21/02/2020;61369.22;45.000;40
11129643163;144940;09/05/2022;85500.00;55.000;10
11280801490;140548;20/12/2020;57000.00;45.000;18
11837469595;198243;22/12/2023;89018.10;76.600;19
10608786610;185538;01/12/2023;39860.81;76.600;34
10863220543;106008;18/01/2021;88407.46;76.600;50
10874722469;160857;25/02/2023;87748.21;45.000;20
11091907414;178683;06/12/2021;62693.00;50.000;40
11717744007;127121;06/04/2021;81897.38;50.000;18
10479498058;198760;30/06/2021;73563.15;45.000;13
11515702400;143354;14/01/2023;85500.00;45.000;29
11254218204;128357;24/10/2023;39265.00;50.000;43
12000299782;180703;02/05/2021;100591.58;55.000;16
10577705232;157534;07/05/2021;98160.00;45.000;40
11798413258;123945;22/01/2021;55600.00;45.000;9
11688317947;194803;10/06/2023;94021.12;45.000;39
11525865982;115974;20/06/2021;65013.00;45.000;3
10961002255;192794;29/01/2023;81919.44;45.000;18
10560936927;173867;23/03/2020;69290.00;50.000;8
10848342391;130284;14/05/2024;88902.00;55.000;29
12141241254;163322;15/10/2020;86500.99;81.600;31
10804226295;143994;18/05/2023;88238.53;45.000;5
10309850189;145484;13/11/2023;81727.00;45.000;50
10965230431;162865;10/07/2023;62040.00;50.000;38
10224904716;104844;20/07/2023;89972.00;45.000;48
11639506048;107370;03/01/2023;23262.42;50.000;8
10498717395;122111;30/01/2023;71117.21;50.000;13
11312653922;111476;08/09/2022;40436.04;55.000;29
10789357496;194464;23/01/2023;65924.29;50.000;29
10925499018;150449;13/01/2022;74352.00;45.000;31
11260891294;157282;25/10/2023;34500.00;45.000;37
11329183127;191016;15/03/2021;52528.47;50.000;7
11585748013;117494;31/01/2021;49562.62;45.000;21
11014153941;157125;14/01/2022;79409.40;76.600;33
11400073926;119024;03/07/2021;69503.02;55.000;35
10126513964;197404;10/11/2020;86680.84;60.000;30
10896582833;160902;22/06/2020;83760.00;76.600;45
11762133999;122115;02/03/2023;86400.00;76.600;23
10506804898;142280;26/10/2023;92750.54;76.600;31
10751585309;145368;04/06/2022;85984.00;50.000;43
11339781092;190572;18/08/2021;22525.76;45.000;12
11730579310;178293;17/08/2022;86286.00;45.000;22
11060660681;143132;03/05/2020;97794.52;55.000;13
10758959089;141124;28/05/2021;93038.00;45.000;29
10003195973;147545;14/06/2023;72937.12;50.000;6
11571370694;196845;05/12/2022;93597.40;60.000;32
10235372296;131941;15/04/2021;83610.00;45.000;26
11602605830;108076;01/01/2022;23262.42;50.000;27
10923905561;106242;05/09/2020;67533.74;45.000;27
11733713135;111652;02/04/2022;85583.46;45.000;14
11928615823;199234;21/03/2023;63210.38;45.000;35
10894911824;107937;12/02/2023;71838.92;45.000;22
11061216341;172071;12/04/2022;71206.13;55.000;20
11440777043;163616;27/02/2023;66873.94;45.000;2
10545375180;153688;14/11/2023;54579.00;50.000;33
10051039697;165198;20/07/2023;54579.00;50.000;28
10521795743;168984;01/08/2023;97658.48;60.000;5
11815123600;155432;20/07/2023;73047.00;45.000;22
11639768358;197823;17/03/2021;58823.53;50.000;15
10486886134;131303;23/11/2022;71242.00;45.000;12
11430578304;117884;11/08/2020;72000.00;45.000;41
11840642632;137256;13/07/2020;51755.59;45.000;5
10474004740;114132;12/07/2022;84479.69;50.000;5
10323631196;179658;12/01/2020;82977.95;50.000;38
10407559009;139324;05/11/2020;67372.00;50.000;34
10213719744;165485;26/11/2022;67606.73;45.000;38
11779172439;156265;26/01/2022;95733.00;50.000;25
11488101509;105079;13/11/2021;66697.73;45.000;20
10163534542;152033;16/01/2020;91876.01;45.000;6
12060953665;108778;14/10/2022;100693.45;55.000;36
10158307424;114375;10/12/2020;75128.24;45.000;34
10865104713;197283;09/08/2021;40012.00;50.000;8
10815776022;180521;25/08/2022;23262.42;50.000;17
10784829940;178851;08/01/2022;103715.33;66.600;31
10852861823;150960;10/10/2023;75387.00;45.000;41
12028204057;169595;03/02/2022;88714.29;45.000;45
11367113294;162915;06/02/2020;118726.14;55.000;39
11842680671;151687;15/09/2021;110649.70;66.600;25
11987341920;139471;28/08/2022;89467.00;50.000;4
11644689363;175769;17/02/2021;94497.77;66.600;16
11893715349;155598;09/03/2022;106400.18;66.600;3
11122360542;145098;06/03/2024;63231.83;45.000;30
12053435582;177320;03/12/2020;68311.47;45.000;13
11640100175;136028;22/03/2024;57040.00;45.000;6
10541861041;117261;06/03/2023;50790.00;45.000;44
10715892484;152342;18/05/2023;71560.00;45.000;47
11142651922;107981;22/10/2020;80017.50;50.000;7
10083678906;174420;21/01/2024;75680.00;45.000;32
12092790458;134328;19/05/2022;59349.00;50.000;42
12066374258;164231;28/03/2021;59800.00;50.000;39
10009621814;134319;30/06/2021;99993.30;71.600;9
11886902898;183585;26/02/2021;40371.20;45.000;38
11174050245;110411;22/11/2020;62819.27;45.000;31
11984241978;125891;20/09/2022;39000.00;50.000;48
10809929816;137945;04/07/2021;69108.26;45.000;23
10997947496;129890;25/08/2020;70488.46;71.600;45
10951389998;167701;10/07/2023;65814.29;45.000;8
11630644579;141534;03/09/2023;58909.80;50.000;20
11555467336;155380;29/01/2024;92210.78;45.000;32
11689356686;176129;19/02/2024;52557.00;50.000;15
10085770726;174304;08/02/2022;62335.47;45.000;40
10841542048;164911;13/05/2024;59938.39;50.000;26
11830499189;141974;31/08/2023;77877.00;55.000;20
11060245953;162524;17/10/2023;74851.00;50.000;30
12060419779;102450;14/04/2021;99119.52;50.000;37
11370421431;141507;29/11/2022;89654.00;50.000;8
11611695690;103800;11/09/2023;45725.00;50.000;19
11515687598;154274;22/03/2023;62081.68;50.000;16
10756212917;105908;31/01/2021;70911.00;45.000;24
11661780473;136900;04/02/2023;52278.96;45.000;3
10888173768;120125;05/12/2021;63190.00;50.000;0
11095905591;196670;25/10/2021;90000.00;55.000;15
11324966877;142684;22/01/2023;46491.03;50.000;34
11111623347;122083;22/08/2022;101415.17;55.000;23
11859224587;140876;04/04/2020;64680.00;45.000;9
10970304959;141419;22/04/2021;74954.00;45.000;36
10905298757;101137;05/12/2023;47237.43;50.000;44
10405433370;189930;03/12/2020;72198.21;45.000;20
10953193276;131845;01/04/2024;24554.00;45.000;25
11030278029;170677;19/02/2023;71233.32;45.000;17
10035716108;118130;12/05/2021;72000.00;55.000;47
12071430922;131698;13/12/2021;102969.48;66.600;48
10807402377;139103;12/08/2021;66630.67;45.000;35
10288842573;142461;24/10/2020;67761.96;50.000;5
11458481375;185428;26/09/2022;83050.87;45.000;22
10349247380;166783;27/03/2023;72324.70;45.000;30
10985492464;115850;01/01/2022;79000.00;71.600;49
10186522032;133381;24/05/2021;84313.72;50.000;19
11685664630;107388;14/05/2023;102834.73;71.600;7
10089190818;163904;20/01/2020;32092.83;45.000;41
11796781845;139085;21/03/2024;78471.46;66.600;47
11847686120;157134;31/03/2021;74109.00;45.000;32
10290466578;191183;30/11/2023;65766.73;45.000;46
11985720926;126795;05/02/2024;66441.00;45.000;48
10197297022;134154;13/01/2023;39696.32;45.000;46
11680296932;180916;23/12/2021;74306.23;45.000;47
10930716632;135014;15/07/2021;31000.00;50.000;9
11025672292;142606;12/12/2021;140146.18;66.600;11
11055355427;127423;14/08/2023;116371.76;55.000;16
11229154036;147240;12/03/2024;118390.00;71.600;15
11917897428;197842;01/01/2024;67000.00;50.000;26
11250465526;141389;27/12/2020;110240.00;71.600;26
12115982297;187752;21/03/2021;71800.00;55.000;33
12113740954;106612;29/09/2020;67400.00;55.000;21
11073775370;100946;07/05/2021;70660.07;50.000;15
10801966592;137734;11/02/2020;72709.17;45.000;19
11095210237;188836;25/03/2020;65255.00;50.000;36
11800025575;112278;16/10/2020;67030.00;45.000;9
11647788908;112234;26/10/2021;67479.85;45.000;31
12030989355;195604;23/05/2020;67910.19;50.000;24
11133291155;128317;18/02/2023;89995.94;55.000;7
10637393971;142257;18/11/2023;62771.00;45.000;27
11207473482;107070;09/12/2023;59435.38;45.000;5
10613948488;132534;08/10/2023;77067.00;50.000;24
10412359431;153782;02/10/2022;52823.00;45.000;2
10906332672;149969;12/05/2024;59614.00;45.000;41
11748999647;136078;01/05/2020;60778.80;45.000;36
10847649571;180069;16/12/2022;65435.00;50.000;38
11553787014;110279;27/08/2022;63992.58;45.000;0
12057155627;132414;04/04/2023;75572.94;55.000;34
10716511375;109939;09/10/2021;68000.00;50.000;25
10826532095;167246;11/01/2022;30040.00;50.000;11
10329981803;142701;01/03/2021;98781.26;45.000;22
11490754927;191544;01/03/2021;90000.00;55.000;13
11681744095;131398;02/07/2022;50591.00;45.000;28
10254485884;109009;20/10/2023;67551.00;50.000;28
10506280354;189733;05/06/2022;43058.00;45.000;13
10588728534;175112;09/09/2023;99482.87;45.000;29
11648800144;102135;11/11/2021;86400.00;71.600;44
10570512239;151283;24/05/2023;89827.30;45.000;48
10838654482;181860;08/01/2021;61509.24;50.000;40
11435145672;120614;15/01/2024;33374.46;50.000;30
11946040076;148672;25/09/2021;44740.00;50.000;18
11323697918;198206;03/08/2022;49440.30;50.000;25
10643822802;173970;20/03/2024;57040.00;45.000;12
10780847634;129981;02/11/2023;46145.25;50.000;9
11295270070;104919;17/04/2024;87474.27;45.000;35
10071909110;198656;13/11/2022;79914.53;45.000;25
11013895564;106190;06/05/2024;60637.91;45.000;5
11491290226;190097;10/08/2022;50000.00;45.000;20
10260972472;139137;11/05/2020;38900.00;45.000;8
10170890018;174526;03/08/2020;55525.04;45.000;21
10765488733;171863;30/11/2023;80326.00;45.000;3
11587353149;113260;10/01/2023;64935.00;45.000;48
10949369499;196910;18/08/2020;76476.00;50.000;48
11774940582;179318;24/09/2022;107804.10;60.000;21
11497817787;188653;12/08/2023;99958.46;60.000;38
11426298554;159220;13/01/2022;79295.80;45.000;16
10269158692;171919;06/03/2020;102000.00;71.600;40
10806033432;141700;03/09/2020;63321.90;45.000;20
11883352334;161739;27/04/2020;53749.00;45.000;45
10747532745;105411;14/10/2023;103889.19;45.000;42
10465558118;111079;22/02/2024;66340.00;45.000;48
11318699678;108250;09/04/2022;130586.56;66.600;40
11046566842;185101;25/11/2023;99983.05;55.000;40
10573771186;193338;17/03/2021;61607.00;45.000;25
10861000301;143164;15/04/2024;57643.00;45.000;41
10548951875;155278;17/07/2021;66306.00;45.000;0
10698405171;121317;24/03/2024;65700.00;45.000;27
11278787191;188459;22/06/2021;91223.00;55.000;31
12022751956;163185;09/02/2021;66993.00;45.000;24
11473158530;114997;03/06/2023;61017.14;45.000;39
10755971293;117464;09/05/2021;70602.56;45.000;24
10531488045;135083;12/04/2023;61546.00;45.000;43
10718466638;172486;05/09/2022;99200.00;45.000;10
11550720077;176311;27/05/2024;64745.00;50.000;50
11572211998;139975;31/07/2020;103972.22;55.000;15
11780798892;146456;10/06/2023;59456.00;50.000;41
10912919813;180566;17/09/2021;57040.00;50.000;29
10753016260;144442;22/10/2020;101505.50;45.000;26
10064872803;108797;23/05/2022;52440.00;50.000;30
11409223601;139659;27/10/2023;77166.25;45.000;42
11245593474;196376;07/04/2021;81454.00;50.000;20
11047500304;170395;10/08/2023;47614.00;50.000;39
10845142706;166358;30/09/2023;56306.00;50.000;34
10270563851;101993;08/09/2020;48000.00;50.000;39
11266894514;147296;13/01/2020;93048.83;45.000;24
10117947566;188897;06/01/2024;33761.78;45.000;50
10946446676;132374;28/11/2021;36000.00;60.000;24
11047648457;120201;11/11/2022;67757.00;45.000;30
10323407887;147235;26/12/2020;44343.86;45.000;45
11310430949;146818;19/11/2020;87660.00;60.000;9
10851070374;101671;11/11/2020;84515.32;45.000;13
10755017399;114469;23/05/2020;67040.00;50.000;50
10436566411;136562;31/03/2020;62636.45;50.000;11
11100090698;116122;29/07/2022;53000.00;45.000;3
10663418759;180027;22/07/2021;58639.00;50.000;31
11340503634;125352;19/03/2024;80000.00;60.000;37
11234018995;105334;12/01/2023;69534.00;45.000;36
10073089748;104138;02/11/2021;67133.00;50.000;49
10852522160;174501;09/09/2022;80085.79;45.000;48
10240348350;158987;08/07/2020;92468.24;45.000;38
11289188617;186171;11/08/2020;63523.00;45.000;23
11029275315;164623;14/03/2022;62683.54;50.000;19
10048938694;144517;06/01/2022;73850.64;45.000;19
10243089770;150203;15/01/2023;59121.00;45.000;9
10789405897;184972;14/04/2023;69022.01;45.000;23
11101150105;116306;02/11/2021;88788.00;55.000;21
10215309195;129838;28/04/2022;57040.00;50.000;36
11291218516;193064;07/11/2023;90113.00;45.000;30
11151327335;153573;05/09/2022;23262.43;50.000;30
11657242521;163688;01/10/2021;43654.03;45.000;34
10926971855;112736;11/11/2022;52381.41;50.000;21
10869912797;104198;03/11/2020;53500.00;45.000;40
10222622773;159790;20/06/2020;74942.00;45.000;25
11203340721;170697;29/12/2022;44238.00;50.000;23
10100876547;132793;14/08/2021;75235.95;55.000;4
11074238273;161521;05/12/2021;55800.00;50.000;10
11866187324;141932;14/10/2022;55048.16;45.000;19
11065679071;124162;21/01/2020;42991.00;50.000;7
11449614122;198517;24/05/2022;81101.39;45.000;37
11544793894;109884;22/03/2021;67680.07;50.000;18
11479366875;178799;08/10/2023;89093.49;50.000;12
11575107960;175239;19/06/2020;66403.00;45.000;37
10109532066;127568;20/07/2020;69600.00;50.000;47
10649913940;191590;29/12/2023;82347.25;55.000;15
11412255523;195096;16/11/2020;131120.00;66.600;11
11838593501;141956;13/09/2022;60913.00;50.000;35
10056983878;165872;15/02/2022;71992.80;45.000;32
10770186829;131332;13/07/2022;58055.58;45.000;18
10118705026;113652;19/08/2023;70402.85;45.000;35
11701189560;123752;20/10/2023;54126.52;45.000;50
10809317621;187385;04/08/2020;51843.19;50.000;3
10286203372;101724;22/08/2021;111522.53;55.000;49
10515124743;192562;29/12/2022;68027.39;45.000;2
10869439924;180536;24/07/2020;24959.83;50.000;17
12010205564;190235;04/08/2022;71977.60;50.000;44
10986316689;103074;30/08/2022;60899.66;45.000;5
10698555156;129236;26/07/2022;53955.01;45.000;37
11187526646;164352;06/02/2022;26115.31;45.000;44
10094842044;186041;07/10/2022;73600.00;45.000;47
10606875501;142838;17/11/2022;66440.00;45.000;20
11880701108;165063;10/04/2021;24959.83;45.000;24
11741029405;152705;03/09/2022;109330.57;55.000;48
11055250942;120197;05/06/2021;20000.00;45.000;0
11598412550;178805;23/01/2023;84600.00;55.000;23
10901673823;108603;10/11/2022;65985.42;45.000;13
11844622734;104702;09/04/2020;102860.00;50.000;23
10801995330;132535;26/03/2024;61821.55;45.000;13
11190915541;102824;13/11/2023;111874.09;50.000;29
11551127764;184121;06/09/2020;36093.84;50.000;33
11783786319;143121;27/11/2020;127117.80;66.600;26
11193832177;140605;29/05/2020;24959.83;45.000;19
11710321415;113336;12/10/2020;134664.24;60.000;49
10558626326;108121;28/01/2020;80705.00;45.000;36
12005089884;160226;02/02/2023;61006.90;76.600;36
10054476021;168158;23/12/2020;66266.86;55.000;48
10726478171;155935;30/09/2022;65040.00;45.000;17
11703600508;184030;19/06/2023;105875.30;60.000;49
11348375910;174159;26/12/2020;36796.23;50.000;9
10009528015;114798;12/07/2020;83337.76;66.600;41
11288671277;116226;23/06/2022;55237.43;50.000;27
12053202210;161509;17/07/2022;54881.22;50.000;40
10640189146;144176;06/08/2020;71969.95;50.000;42
10703505062;185966;15/08/2023;60382.00;50.000;45
10675706914;138361;24/12/2023;58644.60;45.000;41
12036180400;153528;24/04/2022;76206.00;45.000;13
10422188312;184080;01/03/2020;67498.38;45.000;12
10642256169;108099;27/02/2021;82064.44;45.000;44
12076871654;197748;21/11/2020;72061.86;45.000;16
11011448951;123031;03/08/2023;115924.93;55.000;4
10976751615;112038;16/07/2021;131000.00;66.600;44
10208949219;112290;06/05/2021;57199.09;45.000;48
10188879532;156545;26/06/2021;95393.75;45.000;47
10782787091;135609;28/10/2023;53749.00;50.000;44
10378105733;187571;07/09/2020;80193.87;66.600;1
10044455371;182765;01/07/2022;70382.00;50.000;12
11238890497;151083;23/04/2022;72000.00;50.000;33
10725833544;194839;20/07/2020;79311.56;45.000;5
10531079021;125052;23/12/2020;23194.83;50.000;30
10159003846;115164;08/01/2023;54136.94;50.000;48
10318434052;165984;26/01/2021;99313.24;60.000;48
11447945662;187187;31/03/2021;62170.43;45.000;47
10953390764;146360;09/01/2020;25000.00;50.000;3
11395030470;197910;18/06/2023;67204.20;45.000;4
10782770779;151643;06/04/2024;66903.00;45.000;14
10271897356;199705;26/04/2021;79036.31;45.000;12
11963248441;165454;04/11/2020;55161.33;45.000;29
11784009853;144953;10/05/2024;83799.67;45.000;12
11002873292;110138;18/06/2023;69136.00;45.000;2
10599815358;106078;16/05/2022;94050.00;55.000;5
12031853091;156772;09/12/2023;69141.94;45.000;9
11288565891;193387;01/06/2024;66275.00;50.000;23
10585255009;176163;04/04/2020;70291.70;45.000;12
11647128708;171929;01/02/2023;88725.23;45.000;0
11159418768;152125;11/04/2021;42740.48;50.000;35
10843647731;159843;04/08/2023;47000.00;45.000;49
10374032133;178180;01/02/2020;62855.00;45.000;38
10400224082;123773;16/06/2022;59669.18;45.000;48
10428455715;127810;30/05/2024;62748.00;50.000;40
11723102808;188727;15/02/2022;39000.00;50.000;27
11933794072;120251;01/07/2022;54166.62;45.000;8
11420162453;118433;24/03/2024;84980.00;45.000;1
10854400994;125394;20/06/2022;69581.00;50.000;24
10088982800;150655;23/12/2021;86102.85;45.000;12
11682878989;144493;19/10/2021;67037.72;50.000;6
11111204805;166412;07/06/2023;59793.00;45.000;7
10793847185;199257;13/02/2023;62720.56;50.000;29
11803191230;119760;19/06/2020;40772.36;50.000;44
11004297571;179778;17/09/2020;24803.71;45.000;20
11149186703;106797;15/01/2020;52040.00;50.000;8
12071929366;135450;05/07/2022;71600.00;45.000;30
10530740197;134949;19/07/2023;74320.53;45.000;0
10399577495;177949;05/03/2022;73746.22;45.000;18
11314746041;141044;13/06/2020;86789.59;45.000;21
10670075646;166055;02/11/2022;75868.42;45.000;12
11605409338;121768;16/11/2023;81773.66;66.600;2
10539977047;169304;22/05/2023;48264.00;50.000;2
11228121654;109758;30/04/2020;85785.16;45.000;12
10315837752;146877;31/08/2023;91497.86;66.600;16
11607650004;105164;13/12/2020;119247.65;55.000;16
11263480887;145283;22/04/2021;49516.15;45.000;42
12039670370;127974;13/04/2024;69532.00;45.000;4
10771618962;108009;23/08/2020;49140.00;45.000;12
11255404273;137429;16/08/2023;73506.86;45.000;6
10487075409;119207;19/11/2021;24803.71;50.000;49
11214764032;173163;25/04/2022;86450.76;50.000;35
11167590832;112472;05/03/2023;58307.42;55.000;30
11345600681;144016;08/06/2023;57959.87;50.000;43
11231911566;176325;30/08/2021;81600.00;71.600;10
10777212229;111189;03/09/2020;102416.92;55.000;46
11670125587;187466;23/06/2023;88109.91;45.000;1
10594163538;143730;03/05/2021;59545.00;45.000;12
11515646035;157858;26/05/2024;94286.91;60.000;47
11160544568;127071;17/10/2020;56455.00;50.000;4
10826805934;144147;01/09/2020;69431.33;45.000;38
10600421626;189338;30/05/2023;101268.24;55.000;47
11508495914;162583;20/02/2022;69512.00;45.000;50
11923998696;168708;27/11/2021;84479.39;45.000;43
10550496690;184176;10/05/2022;74509.88;50.000;5
10935223546;174906;03/03/2020;50469.00;45.000;2
11585852531;153127;03/01/2024;73308.16;45.000;0
10121841387;141713;28/05/2022;23262.42;45.000;40
11193359370;104427;19/08/2020;69216.03;45.000;35
11165451214;167504;09/12/2023;62333.00;45.000;9
10052077883;104086;16/02/2022;80516.20;45.000;36
11570213486;104973;08/05/2022;62681.00;45.000;42
10780199615;151591;10/12/2021;69617.00;45.000;42
10296361990;100688;08/03/2022;23240.00;50.000;22
11760009615;117022;27/06/2023;66165.00;45.000;42
11671660570;132940;05/08/2020;88200.00;76.600;13
11787932729;119748;18/12/2022;55493.00;50.000;43
10708643295;125667;10/04/2023;83120.36;45.000;1
10378780004;175919;05/01/2024;35775.00;50.000;31
10606797549;163219;24/01/2021;79200.00;50.000;3
10648680625;149787;29/12/2022;94607.04;55.000;35
11527812398;152414;11/08/2021;29300.00;45.000;27
11992485353;175345;13/02/2020;67000.00;55.000;48
10370212774;140856;19/04/2022;47972.00;45.000;20
10474134514;160686;30/07/2021;39055.77;45.000;47
11871013481;113582;09/01/2021;42730.00;45.000;47
11580743651;123554;12/08/2021;71830.82;45.000;12
11889111624;135619;28/06/2022;60057.18;45.000;13
11203122855;176445;29/08/2022;88005.48;45.000;49
11666114324;109638;28/05/2022;71073.50;55.000;41
11465948917;107852;03/07/2022;98095.33;55.000;30
11810951096;127772;06/07/2021;80687.92;45.000;15
11000919926;174241;03/07/2023;45328.07;45.000;11
11380505081;120074;11/05/2024;69882.43;50.000;32
10340926567;130627;12/01/2022;52491.00;50.000;17
10941724511;141815;30/01/2021;71364.38;45.000;3
10272789164;116361;18/12/2021;103731.18;45.000;43
11036042024;181740;29/08/2021;51040.00;45.000;14
11991109082;126484;27/03/2021;51640.00;50.000;33
11066577761;182202;10/02/2021;49902.84;50.000;35
11217498812;124650;13/12/2021;83349.29;55.000;46
11972462344;139564;02/03/2022;98996.95;55.000;5
11749881957;175563;13/03/2022;96755.29;60.000;22
10807517006;184683;07/04/2020;81600.00;55.000;38
11652710778;103387;04/12/2020;55011.00;45.000;23
10184084244;171843;01/04/2022;61072.00;45.000;15
10227461600;139687;28/09/2021;93976.42;60.000;26
11279555495;175309;14/12/2020;64122.00;76.600;22
11635014699;108164;15/09/2023;87840.00;45.000;10
11321116271;174889;22/11/2020;70746.00;45.000;23
10578135579;188232;23/02/2022;66823.33;45.000;38
12092486768;155123;23/04/2022;69302.40;45.000;23
10074461284;100443;12/04/2024;85500.00;45.000;37
11031066971;166614;01/02/2022;43153.61;45.000;43
10882982308;190490;12/08/2022;100000.00;81.600;41
11761104869;166185;10/12/2021;63990.66;50.000;23
11977717184;126785;15/10/2022;88191.00;45.000;24
11771800874;118559;19/07/2021;60105.25;45.000;20
10265155834;117212;28/03/2020;67312.52;45.000;9
11812618862;129211;10/02/2021;76951.15;45.000;30
10509656755;160211;20/02/2020;84497.86;60.000;45
10194486002;184885;31/01/2023;54579.00;50.000;44
11571984403;173255;17/01/2020;57379.00;50.000;31
11054197838;132905;10/07/2021;66440.00;45.000;4
10065649775;146467;16/03/2024;80000.00;45.000;17
12095232080;106554;07/01/2021;74213.24;45.000;38
11470123731;147357;20/04/2023;82925.74;50.000;0
12039652024;187352;15/07/2023;92508.15;45.000;23
10347904300;178170;27/04/2023;78674.10;45.000;41
10871853339;142959;17/02/2024;94875.92;55.000;11
11641295892;159225;15/12/2022;82795.85;45.000;34
11882860409;104161;05/09/2023;57809.00;45.000;37
10341733768;198473;12/12/2020;37324.19;45.000;38
11848914797;185642;11/07/2020;48000.00;50.000;46
11114096861;166547;24/04/2024;74928.43;50.000;9
10627040382;159001;03/03/2020;62297.43;45.000;33
10254513954;175420;07/09/2021;61057.29;45.000;11
11717034950;129915;07/12/2020;103200.00;60.000;28
10711738374;141981;07/07/2023;89600.00;45.000;44
12102635894;190516;05/11/2023;62344.00;50.000;34
10161552587;151160;24/08/2021;67925.00;45.000;47
