nome_mutuario;cpf;numero_identidade;data_nascimento;estado_civil;sexo
SAMARA ;10486886134;2684510;11/11/1976;casado;F
HECTOR ;11430578304;7250725;02/11/1951;solteiro;F
VALERIA ;11840642632;5202896;21/10/1989;divorciado;F
RONIELLISON ;10474004740;7307059;07/04/1962;solteiro;M
ANA ;10323631196;7058355;01/10/1984;solteiro;M
FLORIPES ;10407559009;7230891;14/12/1972;solteiro;M
JADER ;10213719744;5753227;23/06/1963;divorciado;M
CLAUDIA ;11779172439;9364861;10/02/1999;solteiro;F
LUCAS ;11488101509;3821209;19/12/1988;solteiro;F
MAGALI ;10163534542;2494894;20/09/1974;divorciado;M
DANIELA ;12060953665;5130464;28/06/1970;solteiro;M
ROSSANA ;10158307424;9106970;13/05/1972;solteiro;F
DANIELE ;10865104713;5307525;23/09/1995;divorciado;F
RON ;10815776022;5243276;17/04/1990;solteiro;F
EDUARDO ;10784829940;9483410;04/01/1970;solteiro;M
MARIA ;10852861823;5380262;30/06/1955;solteiro;M
DERGSON ;12028204057;1911377;08/07/1963;solteiro;M
ANA ;11367113294;5268569;05/09/1974;solteiro;F
BENEDITA ;11842680671;1988222;03/04/1983;solteiro;M
ADRIANA ;11987341920;1363590;15/11/1991;solteiro;M
FRANCISCO ;11644689363;9411770;14/11/1993;casado;M
CARLOS ;11893715349;4181488;29/07/1965;divorciado;M
WESLEY ;11122360542;9779899;09/01/1978;solteiro;M
JULIANO ;12053435582;4921670;07/12/1987;divorciado;F
FABRICIO ;11640100175;9486800;30/11/1958;divorciado;F
NORMA ;10541861041;8730599;03/09/1964;solteiro;F
BRUNA ;10715892484;6391501;08/07/1993;divorciado;M
SEBASTIANA ;11142651922;6574963;12/07/1992;solteiro;F
CARLOS ;10083678906;5376449;30/06/1958;solteiro;M
FRANCILDA ;12092790458;2797407;14/01/1968;solteiro;M
NATANAEL ;12066374258;2969175;06/03/1979;casado;M
RENATO ;10009621814;6564375;07/09/1978;divorciado;F
DANIELSON ;11886902898;2024381;03/10/1984;solteiro;F
IVELINE ;11174050245;7475762;31/03/1959;solteiro;F
LENNON ;11984241978;4441025;27/12/1984;solteiro;M
JOSE ;10809929816;3821597;29/11/1976;solteiro;M
NAYARA ;10997947496;2573928;07/04/1986;solteiro;M
SILVAM ;10951389998;7728879;26/05/1970;divorciado;F
JOAO ;11630644579;7301236;18/02/1970;solteiro;F
ANDRINE ;11555467336;9845280;13/03/1977;solteiro;F
ARILANE ;11689356686;7052564;26/03/1956;divorciado;M
JAMES ;10085770726;7557801;09/04/1964;solteiro;M
LEILA ;10841542048;9771727;05/06/1975;solteiro;F
FRANCISCO ;11830499189;3159364;20/08/1982;solteiro;F
KEILA ;11060245953;7500217;15/02/1951;solteiro;F
JUSCELINO ;12060419779;9376729;05/11/1997;solteiro;F
NILTON ;11370421431;6214267;22/08/1970;divorciado;F
ANTONIO ;11611695690;9603132;05/11/1973;solteiro;M
VALDERLENE ;11515687598;8567585;26/08/1978;solteiro;M
FRANCISCO ;10756212917;3103335;05/07/1976;solteiro;M
AMANDA ;11661780473;4674652;15/06/1999;divorciado;M
IORRANE ;10888173768;8042360;29/04/1954;solteiro;F
HORTENCIA ;11095905591;1974791;08/04/1992;solteiro;M
ADRIANA ;11324966877;3991283;03/02/1958;solteiro;M
WELINGTON ;11111623347;7245354;20/08/1963;divorciado;F
MARIANA ;11859224587;4108799;17/11/1972;solteiro;F
ODAIR ;10970304959;6366027;28/11/1961;divorciado;F
LENICE ;10905298757;4344145;05/05/1981;solteiro;M
RUTH ;10405433370;7188960;27/10/1963;solteiro;M
RENATO ;10953193276;3776906;13/05/1956;solteiro;F
CLAUDIANE ;11030278029;2186733;30/01/1959;solteiro;M
MAGNO ;10035716108;8550224;17/03/1994;divorciado;M
IVANILDO ;12071430922;5892081;23/04/1952;solteiro;M
ANTONIO ;10807402377;2850458;04/02/1957;solteiro;M
EDILANE ;10288842573;3327010;05/10/1980;solteiro;M
FRANCISCO ;11458481375;1143946;18/10/1954;divorciado;M
FRANCISCO ;10349247380;2217893;01/12/1961;divorciado;F
HILDA ;10985492464;8652495;26/07/1973;solteiro;M
MARIA ;10186522032;7435096;05/06/1951;casado;M
HELVIDIO ;11685664630;7370938;17/03/1975;divorciado;M
LUISA ;10089190818;3542685;28/01/1953;solteiro;M
KELLY ;11796781845;4962121;19/10/1952;casado;M
DANIEL ;11847686120;9463486;06/02/1972;divorciado;M
MARIA ;10290466578;8371733;16/08/1969;solteiro;F
MARIA ;11985720926;2647923;13/05/1960;vi£vo;F
DOUGLAS ;10197297022;1065662;07/08/1957;solteiro;M
HAYLLEY ;11680296932;3329541;10/09/1965;solteiro;F
FRANCISCO ;10930716632;1652497;18/06/1959;divorciado;M
WILLMANN ;11025672292;3707314;15/09/1991;solteiro;M
SAMARA ;11055355427;9445683;20/10/1991;solteiro;F
VINICIUS ;11229154036;4158993;26/03/1965;solteiro;F
ROBERTO ;11917897428;4910433;03/01/1970;divorciado;F
DAVID ;11250465526;9976921;29/03/1970;solteiro;M
DANDARA ;12115982297;1843823;25/08/1990;solteiro;M
MARIA ;12113740954;1150658;04/06/1974;casado;M
CLEANE ;11073775370;9657457;03/08/1996;solteiro;F
MARILIA ;10801966592;1655898;04/08/1991;divorciado;M
PABLO ;11095210237;2792412;27/05/1984;solteiro;M
INGRID ;11800025575;7523343;18/04/1979;solteiro;F
ARTHUR ;11647788908;3185937;11/11/1989;casado;M
ULISSES ;12030989355;6133241;05/07/1956;divorciado;M
KRISNA ;11133291155;6798593;07/05/1952;solteiro;F
SULAMITA ;10637393971;3942001;29/05/1986;divorciado;M
SANDRA ;11207473482;4256289;15/08/1983;solteiro;F
MAYARE ;10613948488;6972411;04/07/1967;casado;M
ALIRIO ;10412359431;1551753;17/09/1968;solteiro;M
ANA ;10906332672;1667067;22/02/1984;divorciado;M
MAYARA ;11748999647;1742707;13/07/1958;solteiro;F
AFRANIA ;10847649571;4280518;05/09/1955;solteiro;F
LORENA ;11553787014;2907271;11/11/1984;divorciado;M
CLEILSON ;12057155627;8718450;14/08/1957;solteiro;M
VALDENICE ;10716511375;7531556;08/07/1984;solteiro;F
LORENA ;10826532095;7833285;25/07/1959;solteiro;M
TEREZINHA ;10329981803;6075375;24/01/1963;solteiro;F
RUTH ;11490754927;4024736;17/02/1960;divorciado;M
JAZIEL ;11681744095;9001161;13/02/1950;solteiro;F
REINALDO ;10254485884;9264892;17/03/1983;casado;F
PEDRO ;10506280354;8438929;20/12/1991;solteiro;M
DAYANNY ;10588728534;7460513;28/11/1988;solteiro;F
VIVIENNE ;11648800144;4644237;16/02/1988;solteiro;M
CLAUDIA ;10570512239;7479389;11/06/1973;solteiro;F
JOSE ;10838654482;8658429;25/01/1971;solteiro;M
MIRIAN ;11435145672;2467627;13/06/1995;solteiro;M
JAIRO ;11946040076;1418312;07/10/1999;solteiro;M
BRUNNA ;11323697918;9083992;04/02/1981;solteiro;M
ANTONIA ;10643822802;4720446;16/10/1952;solteiro;F
FELIPE ;10780847634;5559664;12/09/1969;casado;M
RAFAEL ;11295270070;1854680;17/05/1950;solteiro;M
BRUNA ;10071909110;7022581;12/04/1977;solteiro;M
ANDRE ;11013895564;2770866;09/05/1965;solteiro;M
FRANCILENE ;11491290226;5398663;16/02/1986;solteiro;M
JOSE ;10260972472;5446235;23/12/1964;solteiro;M
KALYDJA ;10170890018;7907423;25/07/1982;solteiro;F
ALEXANDRA ;10765488733;1814049;29/11/1957;solteiro;F
TATIANNA ;11587353149;8597996;19/06/1959;solteiro;M
RAIMUNDO ;10949369499;4379320;06/10/1968;divorciado;M
JOSE ;11774940582;9066369;25/03/1990;solteiro;F
LUANNA ;11497817787;4053834;25/08/1988;solteiro;M
MARIA ;11426298554;9933710;26/01/1963;casado;M
SUZANA ;10269158692;2582860;07/07/1976;divorciado;M
RENNE ;10806033432;7086146;10/12/1993;solteiro;M
VANESSA ;11883352334;6304515;17/10/1984;casado;F
FATIMA ;10747532745;2728749;10/01/1982;solteiro;M
SAVINA ;10465558118;6917673;04/07/1982;solteiro;F
ANDREA ;11318699678;2478769;10/02/1986;casado;M
MYLLENA ;11046566842;8047657;27/09/1998;solteiro;M
RAYANA ;10573771186;5025339;28/06/1955;divorciado;M
SANGELA ;10861000301;6575466;09/02/1986;solteiro;F
TASSIO ;10548951875;3550163;23/09/1966;solteiro;M
ALAN ;10698405171;5848266;01/04/1994;divorciado;M
TIAGO ;11278787191;5231854;04/07/1999;solteiro;M
RAFAEL ;12022751956;7863692;16/11/1991;divorciado;F
BRUNA ;11473158530;6833836;06/07/1957;divorciado;M
WRYLANE ;10755971293;6448603;12/12/1978;solteiro;M
JOSE ;10531488045;6267336;15/01/1955;solteiro;F
LUCILANE ;10718466638;1186653;23/03/1988;solteiro;M
LANNARA ;11550720077;5443394;22/06/1962;solteiro;F
MANOEL ;11572211998;8213837;09/09/1984;solteiro;M
ROSILENE ;11780798892;2573923;20/09/1980;solteiro;M
EUNICE ;10912919813;9047101;19/04/1966;divorciado;M
AGRIPINO ;10753016260;5592828;28/08/1969;casado;M
RAIMUNDA ;10064872803;1204200;20/08/1970;solteiro;F
GILBERTO ;11409223601;3160354;16/05/2000;divorciado;M
EVALDO ;11245593474;4103576;12/07/1968;divorciado;F
ANA ;11047500304;5381150;21/11/1963;solteiro;F
ANDRE ;10845142706;5063045;16/08/1982;divorciado;M
NAIARA ;10270563851;9353601;22/01/1962;divorciado;F
ELVIS ;11266894514;3828834;18/04/1972;divorciado;M
SONIA ;10117947566;3024656;09/05/1961;solteiro;F
FRANCISCO ;10946446676;2951222;16/09/1968;solteiro;F
JOHNNY ;11047648457;6728914;18/01/1967;solteiro;M
EDSON ;10323407887;6647281;29/04/1996;casado;M
MARIA ;11310430949;1207047;05/12/1980;solteiro;M
FRANCISCO ;10851070374;3360294;18/10/1954;solteiro;M
CRISTIANE ;10755017399;6412736;10/06/1968;solteiro;F
BENEDITA ;10436566411;5572143;28/03/1979;divorciado;M
ZULEIDE ;11100090698;5783487;15/08/1985;solteiro;M
JESSICA ;10663418759;5260727;25/08/1964;solteiro;F
RAFAEL ;11340503634;2793301;24/01/1985;casado;F
RAFAEL ;11234018995;5855412;21/05/1973;solteiro;M
MARIA ;10073089748;3977892;17/11/1966;solteiro;F
EDILSON ;10852522160;6997797;02/12/1982;divorciado;M
ANTONIO ;10240348350;6464473;07/01/1959;solteiro;M
ALAN ;11289188617;4856028;09/09/1978;divorciado;M
GEORGE ;11029275315;5877182;20/12/1951;casado;M
JAMILA ;10048938694;2559375;28/03/1978;casado;F
LAELIA ;10243089770;2675047;23/03/1971;casado;F
MILENA ;10789405897;7340135;29/03/1968;solteiro;F
VERONICA ;11101150105;5233012;27/10/1984;solteiro;M
AMANDA ;10215309195;3878444;05/05/1995;solteiro;F
JEANA ;11291218516;3569605;05/02/2000;solteiro;M
LUCIA ;11151327335;2230975;30/04/1965;solteiro;F
JAINA ;11657242521;4992456;26/06/1995;divorciado;F
MARCELO ;10926971855;1747535;11/06/1996;solteiro;F
RAMAIANA ;10869912797;1354735;13/10/1981;divorciado;M
MARIA ;10222622773;5895951;04/05/1980;divorciado;M
PAULO ;11203340721;8975476;25/06/1951;solteiro;M
ADRIANA ;10100876547;6126659;14/01/1987;solteiro;F
THAYNA ;11074238273;2616118;23/10/1965;divorciado;M
MARIA ;11866187324;4011424;11/08/1996;solteiro;F
JADYLA ;11065679071;3723695;05/01/1997;divorciado;M
RAIMUNDA ;11449614122;2482190;17/11/1961;solteiro;F
TIAGO ;11544793894;1256345;25/02/1963;divorciado;M
FRANCISCO ;11479366875;2656403;29/11/1970;solteiro;M
KAROLINE ;11575107960;8134519;23/04/1993;divorciado;M
LUCILEIDE ;10109532066;9303488;27/01/1952;solteiro;M
TIAGO ;10649913940;3615171;28/01/1983;divorciado;M
LARA ;11412255523;7674829;04/02/1992;divorciado;M
MARCELO ;11838593501;4110965;16/06/1986;casado;M
KEILA ;10056983878;9451426;19/02/1998;divorciado;M
SAMARA ;10770186829;6092375;14/10/1975;divorciado;M
ERSON ;10118705026;5859813;10/02/1976;solteiro;M
ELIZIANE ;11701189560;5224063;06/06/1998;divorciado;M
AMANDA ;10809317621;3350630;16/06/1997;divorciado;M
GILMARA ;10286203372;5714446;16/08/1960;solteiro;F
SAMARA ;10515124743;2937614;29/09/1976;divorciado;F
LAYANNE ;10869439924;6074444;12/02/1958;divorciado;F
TACIO ;12010205564;3450911;31/07/1982;divorciado;F
EDSON ;10986316689;8100528;25/04/1985;divorciado;M
CLEIDIVAN ;10698555156;1143316;29/07/1987;divorciado;M
IARA ;11187526646;3377160;29/01/1954;solteiro;M
ANTONIA ;10094842044;2093933;05/10/1963;solteiro;M
MIRIAN ;10606875501;1479241;11/02/1976;divorciado;M
ANTONIO ;11880701108;8403281;30/12/1976;solteiro;F
ROSANE ;11741029405;6002437;19/12/1956;solteiro;M
LENILSON ;11055250942;4719727;16/06/1969;solteiro;F
TAMYRES ;11598412550;8312427;12/11/1975;divorciado;M
THAIS ;10901673823;5013767;10/11/1955;divorciado;M
IRENE ;11844622734;2799638;11/09/1967;divorciado;M
ANTONIO ;10801995330;1313343;03/01/1978;divorciado;M
DENILSON ;11190915541;9244995;29/05/1990;divorciado;F
MARCELO ;11551127764;5069694;16/01/1958;solteiro;M
REGIANE ;11783786319;4435154;27/03/1951;casado;F
ANA ;11193832177;9715186;23/02/1979;divorciado;M
VANESSA ;11710321415;2942875;23/02/1950;solteiro;F
DAYANE ;10558626326;5770415;21/06/1957;casado;M
ROBSON ;12005089884;8148840;02/09/1988;solteiro;M
MARIA ;10054476021;5465976;30/04/1981;divorciado;M
ANA ;10726478171;5156046;26/06/1952;divorciado;M
TONY ;11703600508;2484142;10/11/1994;divorciado;M
CRISTIANE ;11348375910;1822411;07/12/1951;divorciado;F
MARIANA ;10009528015;3499717;05/12/1978;divorciado;F
ROSIANE ;11288671277;3379778;21/03/1966;solteiro;F
LIVIA ;12053202210;8231928;26/06/1958;solteiro;F
VINE ;10640189146;1230127;16/07/1971;solteiro;M
VIVIANE ;10703505062;7787783;27/10/1986;solteiro;M
SHEILA ;10675706914;3303864;19/12/1982;solteiro;F
GIVANILDO ;12036180400;1197386;29/01/1992;divorciado;F
MARCOS ;10422188312;5090378;07/11/1996;divorciado;M
EDUERDESON ;10642256169;1054134;12/03/1967;solteiro;F
MARIA ;12076871654;2205558;19/05/1978;solteiro;M
LUCIENE ;11011448951;3114197;09/02/1952;solteiro;M
JESSIKA ;10976751615;7465039;13/09/1975;solteiro;M
DANIEL ;10208949219;2185154;05/10/1958;vi£vo;F
ISRAEL ;10188879532;9762866;11/04/1997;solteiro;M
JOELCA ;10782787091;4921998;28/03/1961;divorciado;M
EDVARD ;10378105733;2037819;29/01/1987;divorciado;M
ADRIANA ;10044455371;1944210;08/01/1993;divorciado;F
ROSEMARY ;11238890497;8963966;16/11/1955;solteiro;F
GABRIELA ;10725833544;5964482;31/03/1975;solteiro;F
GILBERTO ;10531079021;3016149;11/11/1959;solteiro;M
CLERIO ;10159003846;9334235;16/08/1996;casado;F
LUIZ ;10318434052;8409981;23/12/1975;divorciado;F
KARLA ;11447945662;1056989;25/04/1983;divorciado;M
ELOISA ;10953390764;8473194;11/11/1969;divorciado;F
FABIANA ;11395030470;8583248;11/03/1972;divorciado;M
JERRY ;10782770779;6524691;06/11/1979;divorciado;F
CLEUDES ;10271897356;9329384;08/09/1975;divorciado;M
CLEBER ;11963248441;5316228;11/03/1988;solteiro;F
GISLAYNE ;11784009853;1588697;16/09/1963;casado;M
ALESSANDRO ;11002873292;2034650;12/02/1951;divorciado;F
RUTH ;10599815358;1926311;31/12/1965;divorciado;M
ROBSON ;12031853091;6176421;01/12/1990;divorciado;M
KARLA ;11288565891;6465733;15/12/1980;divorciado;M
RAFAEL ;10585255009;8402023;19/06/1984;divorciado;M
WANGRETT ;11647128708;2781742;08/11/1982;casado;F
CAROLINA ;11159418768;4964399;19/09/1982;solteiro;M
IZABEL ;10843647731;5219469;25/12/1989;divorciado;M
LEANDRO ;10374032133;5151083;01/11/1989;casado;M
JOSE ;10400224082;2273724;17/09/1966;solteiro;M
CARLA ;10428455715;3741208;31/03/1992;divorciado;F
LUIZ ;11723102808;7179873;27/11/1983;divorciado;F
GRASIELE ;11933794072;3704638;28/04/1970;solteiro;M
ROBERTO ;11420162453;2515529;18/04/1969;divorciado;M
VANESSA ;10854400994;7758496;09/05/1988;divorciado;F
EDNA ;10088982800;7969016;14/01/1996;divorciado;M
AILTON ;11682878989;1800467;03/11/1973;solteiro;M
SILVIA ;11111204805;6384996;05/03/1991;divorciado;F
PAULO ;10793847185;5819574;20/09/1973;divorciado;M
CRISTIANA ;11803191230;7469753;23/12/1979;divorciado;M
DANIEL ;11004297571;4449380;04/10/1992;divorciado;M
FLAVIA ;11149186703;5841864;18/04/1989;divorciado;M
DANIEL ;12071929366;5921550;29/05/1965;divorciado;F
LUCIVAL ;10530740197;2675966;13/08/1989;solteiro;M
ALTAIR ;10399577495;6043098;18/03/1958;casado;M
DELSIANI ;11314746041;3414607;11/12/1974;divorciado;F
RODOLFO ;10670075646;5606444;03/10/1998;solteiro;M
MATHILDE ;11605409338;1729976;21/09/1981;divorciado;M
DAVID ;10539977047;3685010;07/12/1980;divorciado;F
MARCELO ;11228121654;5255527;13/08/1956;divorciado;M
DOUGLAS ;10315837752;6498566;21/04/1998;divorciado;F
EDUARDO ;11607650004;2148975;21/03/1998;divorciado;M
SILVINA ;11263480887;1434597;14/10/1950;solteiro;M
LUCAS ;12039670370;3098714;26/07/1988;solteiro;M
LUANA ;10771618962;5530275;29/09/1957;divorciado;M
BEATRIZ ;11255404273;9545694;12/05/1991;solteiro;M
EDIMILSON ;10487075409;3229734;31/10/1962;solteiro;F
TANIA ;11214764032;5665109;13/03/1956;solteiro;M
GLAUCIENE ;11167590832;3143493;08/03/1990;casado;F
JAQUELINE ;11345600681;1244377;07/07/1959;solteiro;F
LIVIA ;11231911566;5672250;04/06/1990;solteiro;M
THIAGO ;10777212229;4821615;18/02/1963;divorciado;F
EDEN ;11670125587;6143111;18/09/1979;divorciado;M
FLAVIA ;10594163538;7333801;29/11/1978;solteiro;M
RENATO ;11515646035;7574738;15/04/1958;divorciado;M
ADRIANA ;11160544568;1596468;05/08/1970;solteiro;F
ANDRE ;10826805934;4420925;11/10/1983;solteiro;M
TULIO ;10600421626;6592060;16/01/1987;divorciado;F
TIAGO ;11508495914;8860492;12/12/1951;solteiro;F
DAYANI ;11923998696;7714485;05/05/1991;solteiro;F
MARCELO ;10550496690;9578690;19/08/1963;casado;M
WILLIAM ;10935223546;7436148;09/04/1951;solteiro;F
FABIANA ;11585852531;4229466;12/11/1985;casado;F
DEMETRIUS ;10121841387;8703609;11/05/1992;solteiro;F
TACIANE ;11193359370;1789119;16/09/1954;solteiro;M
