cpf_mutuario;uf;municipio;endereco;cep
11410467485;RS;NOVO HAMBURGO;"R RUA MARANHAO; 0";50299146
11071714378;SP;VALINHOS;"R RUA RIO DE JANEIRO; 0";76032020
10802566646;SE;PORTO DA FOLHA;"R RUA RIO DE JANEIRO; 0";30552818
10601657249;MT;CUIABA;"R RUA PARAIBA; 4";23421472
10012204173;BA;TEIXEIRA DE FREITAS;"R RUA RIO DE JANEIRO; 0";88727793
10350085359;SP;MARILIA;"R RUA RIO DE JANEIRO; 0";70073445
11604355785;RJ;MACAE;R R PARAIBA 4;48527637
11868980931;SE;ARACAJU;"R RUA DESEMBARGADOR JAMES PORTUGAL; 0";45091843
10147540659;SP;SAO PAULO;"R RUA MAIORCA; 0";77235821
10604170601;PR;PONTA GROSSA;"MUN R RIO PALMILAL; 0";63893263
10407701792;SP;CAMPINAS;"R R RIO DE JANEIRO; 0";25976791
12045145044;PA;ANANINDEUA;R GOVERNADOR MARIO COVAS N 2;26832853
10845908165;AM;PARINTINS;R GOVERNADOR MARIO COVAS N 2;61960193
10692241267;RO;PORTO VELHO;R RUA GOVERNADOR MARIO COVAS N 2;14004507
10375968670;PE;BELO JARDIM;R GOVERNADOR MARIO COVAS N2;27704173
11833200382;PR;CURITIBA;"R ANTONIO LEOPODINO BATISTA; 0";66388638
10867952088;PA;ANANINDEUA;"R ANTONIO LEOPODINO BATISTA; 0";44326896
12090325514;RS;IVOTI;R GOVERNADOR MARIO COVAS N 2;72614474
11129643163;SC;ITAJAI;"R GOV MARIO COVAS; 0";52917873
11280801490;GO;APARECIDA DE GOIANIA;"R RUA GOVERNADOR MARIO COVAS; 0";55336722
11837469595;SP;SAO PAULO;R GOVERNADOR MARIO COVAS N2;84851995
10608786610;SP;JUNDIAI;R GOVERNADOR MARIO COVAS N2;11234974
10863220543;RJ;RIO DE JANEIRO;"R RUA GOVERNADOR MARIOSCOVAS; 0";86935543
10874722469;SP;CAMPINAS;R RUA GOVERNADOR MARIO COVAS N2;63319317
11091907414;SE;ARACAJU;R RUA GOVERNADOR MARIO COVAS N2;32670251
11717744007;SP;RIBEIRAO PRETO;"R RUA FUNCION RIO PEDRO ALVES DA SILVA N; 0";40535329
10479498058;MG;UBERABA;"AV AVENIDA NATAL; 0";22394278
11515702400;PR;LONDRINA;"ARG RUA NOVA JERUSALEM; NR. 2";87359076
11254218204;PE;BELO JARDIM;R JOAQUIM PATRICIO DE SOUZA N 2;56738458
12000299782;SP;FERRAZ DE VASCONCELOS;R GOVERNADOR MARIO COVAS 2;49777127
10577705232;BA;SALVADOR;R GOVERNADOR MARIO COVAS N 2;18637281
11798413258;MT;JUINA;R GOVERNADOR MARIO COVAS N 2;28176349
11688317947;SP;JUNDIAI;R GOVERNADOR MARIO COVAS APTO 3;75564891
11525865982;SC;CHAPECO;R GOVERNADOR MARIO COVAS N 2;56875140
10961002255;PR;CURITIBA;"R R JOSE BEZERRA FALCAO; 0";66184641
10560936927;RS;FREDERICO WESTPHALEN;R GOVERNADOR MARIO COVAS N 2;64997729
10848342391;RJ;NILOPOLIS;R GOVERNADOR MARIO COVAS N 2;19111728
12141241254;CE;FORTALEZA;R RUA CAETANO FIGUEIREDO N1;58651097
10804226295;SP;SOROCABA;"R R GENTIL RODRIGUES DA SILVA; 0";16446365
10309850189;RS;BENTO GONCALVES;R GENTIL RODRIGUES DA SILVA N 2;96347265
10965230431;SE;ARACAJU;"R R GOVERNADOR MARIO COVAS; 0";66053511
10224904716;GO;ANAPOLIS;"R R. PROFESSORA LUIZA DANTAS MEDEIROS; 5";12294705
11639506048;PI;PARNAIBA;R GOVERNADOR MARIO COVAS N 2;67580656
10498717395;CE;FORTALEZA;R GOVERNADOR MARIO COVAS N 2;43826465
11312653922;SP;SALTO;"R GOVERNADOR MARIO COVAS; 0";80426798
10789357496;BA;SALVADOR;R GOVERNADOR MARIO COVAS N 2;24629872
10925499018;PR;LONDRINA;"R R GOVERNADOR MARIO COVAS; 0";49862096
11260891294;MT;CUIABA;"R R GOVERNADOR MARIO COVAS; 0";69884862
11329183127;RS;PELOTAS;"R GENTIL RODRIGUES DA SILVA; 0";51010754
11585748013;MG;ANDRADAS;R GOVERNADOR MARIO COVAS N 2;92905752
11014153941;SP;GUARULHOS;"R RUA GENTIL RODRIGUES DA SILVA; 0";86326943
11400073926;RS;CANOAS;R GENTIL RODRIGUES DA SILVA N 2;98830614
10126513964;SP;GUARULHOS;R GOVERNADOR MARIO COVAS N 2;99736708
10896582833;GO;GOIANIA;R GOVERNADOR MARIO COVAS N 2;57279358
11762133999;SC;ITAJAI;"R GENTIL RODRIGUES DA SILVA; 0";47520764
10506804898;PR;ARAUCARIA;"R GOVERNADOR MARIO COVAS; 0";46529351
10751585309;SC;SAO JOSE;R GOVERNADOR MARIO COVAS N 2;15263265
11339781092;RN;SAO FRANCISCO DO OESTE;"R R GENTIL RPDRIGUES DA SILVA; 0";61382543
11730579310;GO;APARECIDA DE GOIANIA;"R RUA AGT ADMINIST LEONARDO CERQUEIR CAST; 0";71234585
11060660681;MG;BETIM;R GOVERNADOR MARIO COVAS N 2;47066662
10758959089;MG;RIBEIRAO DAS NEVES;R GOVERNADOR MARIO COVAS N 2;83282707
10003195973;SP;SAO JOSE DOS CAMPOS;"PCA TOSCANO PEREIRA DE SOUZA; 0";81394164
11571370694;SP;PRAIA GRANDE;"R R EVANGELICA MARIA V; FERREIRA DE AGUIA; 0";88442463
10235372296;PR;FAZENDA RIO GRANDE;"R R FRANCISCO DE VASCONCELLOS LEIT O APT; 0";95593518
11602605830;PI;PARNAIBA;PCA RUA JOAO ROQUE DA SILVA N 6;12767163
10923905561;PR;ARAUCARIA;PCA RUA JOAO ROQUE DA SILVA  APT 2;28116581
11733713135;PR;MARINGA;"R R CAPITAO NATALICIO EVANGELISTA DOS SAN; 0";37662210
11928615823;PR;MARIALVA;R GOVERNADOR MARIO COVAS 2;55112124
10894911824;SP;FERRAZ DE VASCONCELOS;R AV PERIMETRAL OESTE N 6;78767339
11061216341;SC;PALMITOS;"R RUA GERALDO FRANCISCO DOS SANTOS; 0";72478092
11440777043;MG;PASSOS;R RUA ABDIAS ABDON DE ARAUJO NR. 1;15940913
10545375180;SE;TOBIAS BARRETO;P RUA PROJETADA N 1;18556820
10051039697;SE;TOBIAS BARRETO;R RUA EUCLIDES NUNES MACHADO N 7;86888480
10521795743;SP;SAO JOSE DOS CAMPOS;R RUA CEC   LIA BENEDITO DA SILVA NR 1;58126687
11815123600;PR;FAZENDA RIO GRANDE;"R RUA MARIA MADALENA RAMALHO BANDEIRA; 0";69804451
11639768358;PA;CASTANHAL;"R RUA MARIA MADALENA RAMALHO BANDEIRA; 0";13095754
10486886134;GO;SANTO ANTONIO DO DESCOBERTO;"R RUA FRANCISCO RUFINO DOS SANTOS; 7";92833839
11430578304;SP;TANABI;UO RUA PROJETADA 0;59150679
11840642632;PB;JOAO PESSOA;UO RUA PROJETADA 0;10128101
10474004740;SP;SAO PAULO;D RUA PROJETADA N 7;56970442
10323631196;RO;PORTO VELHO;D RUA FREI CANECA 8;90569561
10407559009;SP;OLIMPIA;MUN LOTEA CIDADE DAS CRIANCAS N 3;84294217
10213719744;SP;FERRAZ DE VASCONCELOS;D RUA PROJETADA N 9;94648608
11779172439;PE;CARUARU;D RUA PROJETADA N 7;34861880
11488101509;RN;PARNAMIRIM;MUN RUA PROJETADA 0;38896434
10163534542;MG;SANTA LUZIA;R RUA PROJETADA N 2;53732831
12060953665;MG;UBERLANDIA;"MUN RUA PROJETADA; 0";57572545
10158307424;SP;SAO PAULO;"D RUA PROJETADA; 1";23667484
10865104713;MT;CUIABA;MUN RUA PROJETADA N 5;21220493
10815776022;PI;PARNAIBA;"R RUA EMPRESARIO OLAVO DOS  GUIMARAES WAN; 0";53229258
10784829940;SP;HORTOLANDIA;MUN RUA PROJETADA N 0;19889652
10852861823;GO;GOIANIA;R GOVERNADOR MARIO COVAS N 2;54684608
12028204057;DF;BRASILIA;D RUA PROJETADA 2;46039825
11367113294;AM;MANAUS;MUN RUA PROJETADA N 6;13045888
11842680671;SP;SAO PAULO;MUN RUA PROJETADA N 7;32499971
11987341920;SC;TUBARAO;MUN RUA PROJETADA N 7;90651543
11644689363;SP;BAURU;"MUN RUA PROJETADA; 0";86471214
11893715349;SP;PIRACICABA;D RUA PROJETADA 9;47258650
11122360542;CE;FORTALEZA;MUN RUA PROJETADA N 7;44582843
12053435582;RN;PARNAMIRIM;AV GOV ANTONIO MARIZ N 3;24065502
11640100175;MA;SAO JOSE DE RIBAMAR;"MUN RUA DAS PAPOULAS; 0";11760960
10541861041;BA;ITABUNA;"MUN RUA JO O SEBASTI O ROCHA; 3";63003141
10715892484;SP;BOTUCATU;"MUN RUA A RTON SENNA; 0";81576414
11142651922;SC;PALHOCA;"MUN RUA A RTON SENNA; 0";34917427
10083678906;PR;CURITIBA;"R JOSE RIBEIRO DE ALMEIDA; 0";47106688
12092790458;PR;ARAPONGAS;"R JOSE RIBEIRO DE ALMEIDA; 0";82700950
12066374258;SP;ARACATUBA;"MUN RUA ALICE ALVES VILELA; 0";89191141
10009621814;RO;PORTO VELHO;"MUN RUA DOS BEM-TE-VIS; 2";76305921
11886902898;SP;CAMPINAS;"R R EVANIO LABRE; 0";16981654
11174050245;RS;GARIBALDI;"R R EVANIO LABRE; 0";31974214
11984241978;MG;ESPERA FELIZ;MUN RUA JOSE ANTONIO DE SOUSA NR 1;75206017
10809929816;SC;GUATAMBU;MUN RUA DEZESSEIS NR 1;54259739
10997947496;CE;FORTALEZA;MUN RUA DEZESSEIS NR 1;90683041
10951389998;SP;ILHA SOLTEIRA;MUN RUA ALAIDE ANDRADE VILELA NR 1;39427818
11630644579;MA;PACO DO LUMIAR;"MUN RUA ANTONIO OSVALDO; 0";20056539
11555467336;SP;GUARULHOS;"MUN RUA ANTONIO OSVALDO; 0";93066718
11689356686;CE;JUAZEIRO DO NORTE;"MUN RUA FERNANDO DE ALMEIDA LIMA; 0";30751277
10085770726;PA;ANANINDEUA;"MUN RUA FERNANDO DE ALMEIDA LIMA; 0";10678931
10841542048;MG;UBERLANDIA;"MUN RUA DOIS;   5";77554384
11830499189;SE;ARACAJU;"MUN RUA FERNANDO DE ALMEIDA LIMA; N  2";31323010
11060245953;SP;ILHA SOLTEIRA;"MUN RUA FERNANDO DE ALMEIDA LIMA; N  2";32948429
12060419779;BA;SALVADOR;"MUN RUA JOSE CHAGAS DA FONSECA; 0";22901283
11370421431;GO;GOIANIA;"MUN RUA JOSE CHAGAS DA FONSECA; 0";79982471
11611695690;SP;MOGI GUACU;MUN RUA 3;62273855
11515687598;RJ;CAMPOS DOS GOYTACAZES;MUN RUA 3;77259734
10756212917;ES;COLATINA;MUN RUA 1;30405268
11661780473;MT;TANGARA DA SERRA;"MUN R; FERNANDO DE ALMEIDA LIMA N 3";34520456
10888173768;MG;UNAI;"MUN RUA DAS AC CIAS; LT 1";97145046
11095905591;SP;FRANCA;"MUN RUA DAS AC CIAS; LT 1";74391097
11324966877;RS;PELOTAS;"MUN RUA DAS ACACIAS; N 8";28824311
11111623347;MG;UBERLANDIA;"MUN RUA DAS ACACIAS; N 8";25314231
11859224587;AL;SATUBA;"MUN RUA JORGE RIBEIRO; 0";99569851
10970304959;GO;GOIANIA;"MUN IEZESSEIS; 0";48176406
10905298757;RS;SANTO CRISTO;"MUN IEZESSEIS; 0";45743733
10405433370;GO;VALPARAISO DE GOIAS;MUN RUA 0;40798083
10953193276;RN;CEARA-MIRIM;MUN RUA 0;58576134
11030278029;SC;SAO MIGUEL DO OESTE;"MUN NHA CHICA; 0";57670488
10035716108;SP;ASSIS;MUN RUA 3;70605622
12071430922;SP;GUARULHOS;"MUN RUA JOAQUIM TAIOBA; 0";17516553
10807402377;SP;MARILIA;"MUN RUA JOAQUIM TAIOBA; 0";94341994
10288842573;RN;MOSSORO;"R RUA RODOLFO ABREU; 1";47882712
11458481375;PR;CASCAVEL;R AV GERALDINO MARTINS DE BARROS LT 7;75775376
10349247380;SP;APARECIDA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;43900682
10985492464;SP;BURITIZAL;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;42179270
10186522032;GO;AGUAS LINDAS DE GOIAS;"R ANTONIO BORGES DE ARAUJO; 0";32108321
11685664630;RJ;RIO DE JANEIRO;R RUA ANTONIO BORGES DE ARAUJO BLOCO 2;21629046
10089190818;MG;UBERLANDIA;"R RUA ANTONIO BORGES DE ARAUJO; 0";26927548
11796781845;SP;TAUBATE;"R ANTONIO BORGES DE ARAUJO; 0";92192615
11847686120;SP;JAU;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;90637622
10290466578;SP;SUMARE;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;31359468
11985720926;SP;INDAIATUBA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;32499160
10197297022;PR;JACAREZINHO;R RUA ANTONIO BORGES DE ARAUJO SN BL 0;46808491
11680296932;MA;SAO LUIS;R RUA ANTONIO BORGES DE ARAUJO BLOCO 0;69279344
10930716632;MT;RONDONOPOLIS;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;50532668
11025672292;SP;GUARULHOS;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;37013782
11055355427;PR;SAO JOSE DOS PINHAIS;R RUA MARIA HELENA DE SOUSA SN BLOCO 0;36808832
11229154036;SP;JANDIRA;"R RUA ANTONIO BORGES DE ARAUJO; 0";77929670
11917897428;BA;FEIRA DE SANTANA;"R ANTONIO BORGES DE ARAUJO; 0";70469256
11250465526;PR;MARINGA;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;26433950
12115982297;SC;LAGES;"R ANTONIO BORGES DE ARAUJO; 0";29891881
12113740954;PR;MARINGA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;97946567
11073775370;AL;MACEIO;"R ANTONIO BORGES DE ARAUJO; 0";69247557
10801966592;PR;CAMPO LARGO;R RUA ANTONIO BORGES DE ARAUJO SN BLC 2;20266290
11095210237;BA;JUAZEIRO;R RUA ANTONIO BORGES DE ARAUJO SN BLC 2;87515306
11800025575;SC;TAIO;R RUA ANTONIO BORGES DE ARAUJO BLOCO 1;35749909
11647788908;SP;GUARULHOS;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;10268163
12030989355;GO;VALPARAISO DE GOIAS;R RUA ANTONIO BORGES DE ARAUJO 4;21102263
11133291155;SP;JUNDIAI;"R RUA ANTONIO BORGES DE ARAUJO; 0";52895319
10637393971;SC;ITAJAI;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;39366061
11207473482;AC;RIO BRANCO;"R ANTONIO BORGES DE ARAUJO; 0";99802806
10613948488;SP;SUMARE;R RUA ANTONIO BORGES DE ARAUJO BLOCO 0;63053029
10412359431;RS;IJUI;R RUA ELTON POLVEIRO 9;38459056
10906332672;RS;PORTO ALEGRE;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;96810659
11748999647;SC;APIUNA;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 0;10184161
10847649571;GO;SANTO ANTONIO DO DESCOBERTO;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;32468528
11553787014;PR;SAO JOSE DOS PINHAIS;"R ANTONIO BORGES DE ARAUJO; 0";47705720
12057155627;PR;FAZENDA RIO GRANDE;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;42669913
10716511375;BA;FEIRA DE SANTANA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;67419557
10826532095;PR;LOBATO;"R RUA ANTONIO BORGES ARAUJO; 0";78134917
10329981803;SC;GASPAR;R RUA ANTONIO BORGES DE ARAUJO 4;13806099
11490754927;SP;RIBEIRAO PRETO;R RUA AVENIR  GUARATO 4;77889968
11681744095;MA;TRIZIDELA DO VALE;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;62686492
10254485884;BA;TEIXEIRA DE FREITAS;"R ANTONIO BORGES DE ARAUJO; 0";56419354
10506280354;PR;LOBATO;"R ANTONIO BORGES DE ARAUJO; 0";53150651
10588728534;MG;UBERLANDIA;"R R ANTONIO BORGES DE ARAUJO; 0";77513001
11648800144;RN;MOSSORO;"R R ANTONIO BORGES DE ARAUJO; 0";84371165
10570512239;SP;MOGI DAS CRUZES;"R RUA ANTONIO BORGES DE ARAUJO; 0";35591349
10838654482;RS;GRAVATAI;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;76140329
11435145672;SP;ITANHAEM;"R RUA ANTONIO BORGES DE ARAUJO; 0";90715450
11946040076;PE;BREJO DA MADRE DE DEUS;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;26536421
11323697918;PE;SANTA CRUZ DO CAPIBARIBE;R RUA ANTONIO BORGES DE ARAUJO 4;68564430
10643822802;MG;VARGINHA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;10143393
10780847634;MG;MONTES CLAROS;R RUA ANTONIO BORGES DE ARAUJO 4;73530605
11295270070;MS;CAMPO GRANDE;"R RUA ANTONIO BORGES DE ARAUJO; 0";41855927
10071909110;PE;JABOATAO DOS GUARARAPES;"R ANTONIO BORGES DE ARAUJO; 0";80194659
11013895564;SP;FRANCA;R RUA ANTONIO BORGES DE ARAUJO 4;85935178
11491290226;RS;ANTONIO PRADO;R RUA ANTONIO BORGES DE ARAUJO 4;27298907
10260972472;SE;SAO CRISTOVAO;R RUA ANTONIO BORGES DE ARAUJO 4;76538285
10170890018;SC;CHAPECO;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;78084795
10765488733;MG;UBERLANDIA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;91689335
11587353149;SC;APIUNA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;39210231
10949369499;MG;TEOFILO OTONI;"R RUA ANTONIO BORGES DE ARAUJO; 0";82426772
11774940582;GO;GOIANIA;R RUA ANTONIO BORGES DE ARAUJO SN BLOCO 2;40493515
11497817787;RS;ALVORADA;"R ANTONIO BORGES DE ARAUJO; 0";91362880
11426298554;PR;ARAUCARIA;"R ANTONIO BORGES DE ARAUJO; 0";45516387
10269158692;PB;CAMPINA GRANDE;"R ANTONIO BORGES DE ARAUJO; 0";47622033
10806033432;RS;CACHOEIRINHA;"R RUA ANTONIO BORGES DE ARAUJO; 0";77883616
11883352334;MG;CARMO DO RIO CLARO;"R RUA ANTONIO BORGES DE ARAUJO; 0";35805088
10747532745;MG;BELO HORIZONTE;"R RUA ANTONIO BORGES DE ARAUJO ;S/N BLOCO; 0";15363815
10465558118;RS;CAXIAS DO SUL;R RUA ANTONIO BORGES DE ARAUJO SN BLC 1;35859407
11318699678;SP;JUNDIAI;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;24948196
11046566842;RS;PORTO ALEGRE;R RUA ANTONIO BORGES DE ARAUJO BLC 2;40053954
10573771186;BA;FEIRA DE SANTANA;R RUA ANTONIO BORGES DE ARAUJO 4;11668577
10861000301;SP;PINDAMONHANGABA;R RUA ANTONIO BORGES DE ARAUJO SN BLC 2;62670394
10548951875;SP;ARACATUBA;"R RUA ANTONIO BORGES DE ARAUJO; 0";24671703
10698405171;MG;IGARAPE;"R RUA CARLOS TASSO RODRIGUES DA CUNHA; 0";52235748
11278787191;SP;MAUA;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;88193013
12022751956;SP;FERRAZ DE VASCONCELOS;"R RUA CARLOS TASSO RODRIGUES DA CUNHA BLC; 0";46671502
11473158530;MG;VARGINHA;"R RUA CARLOS TASSO RODRIGUES DA CUNHA SN; 0";39181203
10755971293;MA;SAO JOSE DE RIBAMAR;"R CARLOS TASSO RODRIGUES DA CUNHA; 0";59045769
10531488045;SP;GUARULHOS;R RUA ANTONIO BORGES DE ARAUJO BLC 1;47384209
10718466638;SP;CARAPICUIBA;"R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC; 0";60431700
11550720077;AL;SATUBA;"R CARLOS TASSO RODRIGUES DA CUNHA; 0";37399673
11572211998;MG;BELO HORIZONTE;"R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC; 0";11903016
11780798892;SE;TOBIAS BARRETO;"R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC; 0";12300565
10912919813;MA;SAO JOSE DE RIBAMAR;"R CARLOS TASSO RODRIGUES DA CUNHA; 0";99340292
10753016260;PA;ANANINDEUA;"R RUA CARLOS TASSO RODRIGUES DA CUNHA SN; 0";46012453
10064872803;RJ;MACAE;"R RUA CARLOS TASSO RODRIGUES DA CUNHA SN; 0";87065808
11409223601;SP;TATUI;R ANTONIO BORGES DE ARAUJO SN BLOCO 0;65090289
11245593474;SP;CAMPINAS;"R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC; 0";34613451
11047500304;SP;SAO JOSE DO RIO PRETO;"R CARLOS TASSO RODRIGUES DA CUNHA; 0";84021607
10845142706;PA;BELEM;"R CARLOS TASSO RODRIGUES DA CUNHA; 0";20095472
10270563851;GO;AGUAS LINDAS DE GOIAS;"R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC; 0";62563182
11266894514;RJ;RIO DE JANEIRO;"R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC; 0";58705409
10117947566;BA;LAURO DE FREITAS;"R RUA CARLOS TASSO RODRIGUES DA CUNHA; 0";29159902
10946446676;PE;RECIFE;"R RUA CARLOS TASSO RODRIGUES DA CUNHA; 0";48216846
11047648457;PR;PONTA GROSSA;"R RUA CARLOS TASSO RODRIGUES DA CUNHA; 0";76772652
10323407887;SP;SAO MANUEL;"R RUA CARLOS TASSO RODRIGUES DA CUNHA SN; 0";43065063
11310430949;BA;VITORIA DA CONQUISTA;"R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC; 0";98047141
10851070374;RS;SAPUCAIA DO SUL;"R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC; 0";16635468
10755017399;RS;PORTO ALEGRE;"R CARLOS TASSO RODRIGUES DA CUNHA; 0";12291042
10436566411;MT;BARRA DO GARCAS;"R CARLOS TASSO RODRIGUES DA CUNHA SN BLOC; 0";89536597
11100090698;RS;SAO LEOPOLDO;"R CARLOS TASSO RODRIGUES DA CUNHA; 0";97054399
10663418759;SP;GUARULHOS;"R RUA CARLOS TASSO RODRIGUES DA CUNHA; 0";30737198
11340503634;GO;GOIANIA;"R RUA CARLOS TASSO RODRIGUES DA CUNHA SN; 0";62155268
11234018995;ES;SERRA;"R RUA CARLOS TASSO RODRIGUES DA CUNHA SN; 0";86308419
